EventID,Proyek,Sumber Lead,Tanggal,Hari Ke,Target Lead Harian,Leads Didapat,Cumulative Leads,Achievement %
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Kamis, 01 Januari 2026",1,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Jumat, 02 Januari 2026",2,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Sabtu, 03 Januari 2026",3,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Minggu, 04 Januari 2026",4,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Senin, 05 Januari 2026",5,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Selasa, 06 Januari 2026",6,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Rabu, 07 Januari 2026",7,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Kamis, 08 Januari 2026",8,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Jumat, 09 Januari 2026",9,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Sabtu, 10 Januari 2026",10,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Minggu, 11 Januari 2026",11,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Senin, 12 Januari 2026",12,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Selasa, 13 Januari 2026",13,,0,0,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Rabu, 14 Januari 2026",14,,2,2,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Kamis, 15 Januari 2026",15,,0,2,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Jumat, 16 Januari 2026",16,,0,2,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Sabtu, 17 Januari 2026",17,,0,2,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Minggu, 18 Januari 2026",18,,0,2,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Senin, 19 Januari 2026",19,,0,2,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Selasa, 20 Januari 2026",20,,1,3,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Kamis, 22 Januari 2026",22,,1,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Jumat, 23 Januari 2026",23,,0,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Sabtu, 24 Januari 2026",24,,0,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Minggu, 25 Januari 2026",25,,0,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Senin, 26 Januari 2026",26,,0,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Selasa, 27 Januari 2026",27,,1,5,
