EventID,PROYEK,Sumber Lead,Tgl Mulai,Tgl Selesai,Anggaran Total,Target Lead Harian,Status,Catatan,Total Leads,Cost per Lead
EV-20260101-MADIUN-01,MADIUN 2 PERLUASAN,Umbul-Umbul,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp600.000,,Berlangsung,,0,
EV-20260101-MADIUN-02,MADIUN 2 PERLUASAN,Round Tag,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp1.800.000,,Berlangsung,,0,
EV-20260101-JABUNG-03,JABUNG MALANG,Promo Kanopi Carport,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp30.000.000,,Berlangsung,,1,Rp30.000.000
EV-20260101-MADIUN-04,MADIUN 2 PERLUASAN,Tutup Atap Belakang,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp1.540.349,,Berlangsung,,34,
EV-20260101-PATI-05,PATI,Promo DP 1 Juta & UTJ 250 Ribu,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp11.460.000,,Berlangsung,,10,Rp1.146.000
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Kamis, 01 Januari 2026",,Rp12.460.000,,Selesai,,4,Rp3.115.000
EV-20260101-MLONGG-07,MLONGGO 2,Promo UTJ 250 Ribu,"Kamis, 01 Januari 2026",,Rp12.460.000,,Selesai,,2,Rp6.230.000
EV-20260101-SRAGEN-08,SRAGEN,Promo DP 1 Juta All In & UTJ 500 Free Kanopi Depan & Belakang,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp12.960.000,,Berlangsung,,0,
EV-20260101-MUTIAR-09,MUTIARA GARDEN 5,Promo Free Kanopi Depan A-05,"Kamis, 01 Januari 2026","Sabtu, 31 Januari 2026",Rp2.000.000,,Berlangsung,,0,
EV-20260101-MLONGG-10,MLONGGO 1,Brosur 2 Muka,"Kamis, 01 Januari 2026",,Rp600.000,,Berlangsung,,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Kamis, 01 Januari 2026",,Rp600.000,,Berlangsung,,28,Rp21.429
EV-20260116-MLONGG-12,MLONGGO 1,Sewa Stand Festival Buah Eksotik Jepara & Bazar UMKM 2026,"Jumat, 16 Januari 2026","Minggu, 18 Januari 2026",Rp750.000,4,Selesai,,13,Rp57.692
EV-20260106-JONGGR-13,JONGGRANGAN,Banner & Umbul-Umbul,"Selasa, 06 Januari 2026","Sabtu, 31 Januari 2026",Rp2.173.000,,Berlangsung,,0,
EV-20260107-TEGAL-14,TEGAL,Promo Cashback 2 Juta (6 unit),"Rabu, 07 Januari 2026","Sabtu, 31 Januari 2026",Rp12.000.000,,Berlangsung,,0,
EV-20260108-PATI-15,PATI,"Revisual Signboard, Banner, Roundtag, Umbul-Umbul","Kamis, 08 Januari 2026","Sabtu, 31 Januari 2026",Rp10.550.000,,Berlangsung,,0,
EV-20260112-MADIUN-16,MADIUN 2 PERLUASAN,Realisasi Promo Atap Belakang Periode Nov-Des,"Senin, 12 Januari 2026","Sabtu, 31 Januari 2026",Rp25.500.000,,Berlangsung,,0,
EV-20260121-TEGAL-17,TEGAL,Promo Cashback 2 Juta,"Rabu, 21 Januari 2026","Sabtu, 31 Januari 2026",Rp4.210.000,,Berlangsung,,0,
EV-20260121-JERUKS-18,JERUKSAWIT 4,"Round Tag, Banner, dan Frame","Rabu, 21 Januari 2026","Sabtu, 31 Januari 2026",Rp6.994.000,,Berlangsung,,0,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Kamis, 01 Januari 2026","Sabtu, 28 Februari 2026",Rp0,,Berlangsung,,85,Rp0
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Kamis, 01 Januari 2026","Sabtu, 28 Februari 2026",Rp10.960.000,,Selesai,,6,Rp1.826.667
EV-20260225-KUWASE-21,KUWASEN,Sewa Stand Tenant Saudara Swalayan Jepara,"Rabu, 25 Februari 2026","Rabu, 11 Maret 2026",Rp2.220.000,,Selesai,,0,
EV-20260127-KUWASE-22,KUWASEN,Permohonan free 1x angsuran blok E dan I,"Selasa, 27 Januari 2026",,,,Berlangsung,,0,
EV-18991230-WAGIR-23,WAGIR,"Permohonan 8 Juta All-In (Include UTJ 1,5juta) free Meja Dapur dan Tembok Belakang",,,,,,,0,
EV-20260204-MADIUN-24,MADIUN 2 PERLUASAN,Brosur,"Rabu, 04 Februari 2026","Sabtu, 28 Februari 2026",Rp712.000,,Berlangsung,,2,Rp356.000
EV-20260207-PATI-25,PATI,Sewa Stand Tenant Pasar Imlek,"Sabtu, 07 Februari 2026","Selasa, 17 Februari 2026",Rp3.500.000,,Selesai,,4,Rp875.000
EV-20260202-TEGAL-26,TEGAL,Promo DP 7 JT Cashback 2JT Kavling Selain Blok A,"Senin, 02 Februari 2026","Sabtu, 28 Februari 2026",,,Selesai,,,
EV-20260225-TEGAL-27,TEGAL,Promo Ramadhan UTJ 250.000,"Rabu, 25 Februari 2026","Kamis, 19 Februari 2026",,,Berlangsung,,,
EV-20260202-TEGAL-28,TEGAL,Promo DP 10 JT Kavling Blok A,"Senin, 02 Februari 2026","Sabtu, 28 Februari 2026",,,Berlangsung,,,
